time,missile_x,missile_y,missile_z,drone_x,drone_y,drone_z,bomb_x,bomb_y,bomb_z,cloud_x,cloud_y,cloud_z,is_shielded,shield_distance,projection_u
0.0,20000.0,0.0,2000.0,17800.0,0.0,1800.0,17800.0,0.0,1800.0,,,,False,,
0.01,19997.01488842937,0.0,1999.701488842937,17798.8,0.0,1800.0,17798.8,0.0,1800.0,,,,False,,
0.02,19994.02977685874,0.0,1999.402977685874,17797.6,0.0,1800.0,17797.6,0.0,1800.0,,,,False,,
0.03,19991.04466528811,0.0,1999.104466528811,17796.4,0.0,1800.0,17796.4,0.0,1800.0,,,,False,,
0.04,19988.05955371748,0.0,1998.805955371748,17795.2,0.0,1800.0,17795.2,0.0,1800.0,,,,False,,
0.05,19985.07444214685,0.0,1998.507444214685,17794.0,0.0,1800.0,17794.0,0.0,1800.0,,,,False,,
0.06,19982.089330576222,0.0,1998.208933057622,17792.8,0.0,1800.0,17792.8,0.0,1800.0,,,,False,,
0.07,19979.10421900559,0.0,1997.910421900559,17791.6,0.0,1800.0,17791.6,0.0,1800.0,,,,False,,
0.08,19976.11910743496,0.0,1997.611910743496,17790.4,0.0,1800.0,17790.4,0.0,1800.0,,,,False,,
0.09,19973.13399586433,0.0,1997.313399586433,17789.2,0.0,1800.0,17789.2,0.0,1800.0,,,,False,,
0.1,19970.1488842937,0.0,1997.01488842937,17788.0,0.0,1800.0,17788.0,0.0,1800.0,,,,False,,
0.11,19967.16377272307,0.0,1996.716377272307,17786.8,0.0,1800.0,17786.8,0.0,1800.0,,,,False,,
0.12,19964.17866115244,0.0,1996.4178661152441,17785.6,0.0,1800.0,17785.6,0.0,1800.0,,,,False,,
0.13,19961.19354958181,0.0,1996.119354958181,17784.4,0.0,1800.0,17784.4,0.0,1800.0,,,,False,,
0.14,19958.20843801118,0.0,1995.8208438011181,17783.2,0.0,1800.0,17783.2,0.0,1800.0,,,,False,,
0.15,19955.22332644055,0.0,1995.522332644055,17782.0,0.0,1800.0,17782.0,0.0,1800.0,,,,False,,
0.16,19952.23821486992,0.0,1995.2238214869922,17780.8,0.0,1800.0,17780.8,0.0,1800.0,,,,False,,
0.17,19949.253103299292,0.0,1994.925310329929,17779.6,0.0,1800.0,17779.6,0.0,1800.0,,,,False,,
0.18,19946.267991728662,0.0,1994.626799172866,17778.4,0.0,1800.0,17778.4,0.0,1800.0,,,,False,,
0.19,19943.28288015803,0.0,1994.328288015803,17777.2,0.0,1800.0,17777.2,0.0,1800.0,,,,False,,
0.2,19940.2977685874,0.0,1994.02977685874,17776.0,0.0,1800.0,17776.0,0.0,1800.0,,,,False,,
0.21,19937.31265701677,0.0,1993.731265701677,17774.8,0.0,1800.0,17774.8,0.0,1800.0,,,,False,,
0.22,19934.32754544614,0.0,1993.432754544614,17773.6,0.0,1800.0,17773.6,0.0,1800.0,,,,False,,
0.23,19931.34243387551,0.0,1993.1342433875511,17772.4,0.0,1800.0,17772.4,0.0,1800.0,,,,False,,
0.24,19928.35732230488,0.0,1992.835732230488,17771.2,0.0,1800.0,17771.2,0.0,1800.0,,,,False,,
0.25,19925.37221073425,0.0,1992.5372210734251,17770.0,0.0,1800.0,17770.0,0.0,1800.0,,,,False,,
0.26,19922.38709916362,0.0,1992.238709916362,17768.8,0.0,1800.0,17768.8,0.0,1800.0,,,,False,,
0.27,19919.40198759299,0.0,1991.9401987592992,17767.6,0.0,1800.0,17767.6,0.0,1800.0,,,,False,,
0.28,19916.416876022362,0.0,1991.641687602236,17766.4,0.0,1800.0,17766.4,0.0,1800.0,,,,False,,
0.29,19913.431764451732,0.0,1991.3431764451732,17765.2,0.0,1800.0,17765.2,0.0,1800.0,,,,False,,
0.3,19910.446652881103,0.0,1991.04466528811,17764.0,0.0,1800.0,17764.0,0.0,1800.0,,,,False,,
0.31,19907.46154131047,0.0,1990.7461541310472,17762.8,0.0,1800.0,17762.8,0.0,1800.0,,,,False,,
0.32,19904.47642973984,0.0,1990.447642973984,17761.6,0.0,1800.0,17761.6,0.0,1800.0,,,,False,,
0.33,19901.49131816921,0.0,1990.149131816921,17760.4,0.0,1800.0,17760.4,0.0,1800.0,,,,False,,
0.34,19898.50620659858,0.0,1989.8506206598581,17759.2,0.0,1800.0,17759.2,0.0,1800.0,,,,False,,
0.35000000000000003,19895.52109502795,0.0,1989.552109502795,17758.0,0.0,1800.0,17758.0,0.0,1800.0,,,,False,,
0.36,19892.53598345732,0.0,1989.2535983457321,17756.8,0.0,1800.0,17756.8,0.0,1800.0,,,,False,,
